,Phase,human_cube_pos,human_cube_orn,Cube_Pos,Cube_Orn,Cube_pos_in_start_pos,b'l_prox_pin'_link_pos,b'l_prox_pin'_link_orn,b'l_distal_pin'_link_pos,b'l_distal_pin'_link_orn,b'r_prox_pin'_link_pos,b'r_prox_pin'_link_orn,b'r_distal_pin'_link_pos,b'r_distal_pin'_link_orn,b'l_prox_pin'_joint_angle,b'l_prox_pin'_joint_vel,b'l_prox_pin'_joint_react_forces,b'l_prox_pin'_joint_motor_torque,b'l_distal_pin'_joint_angle,b'l_distal_pin'_joint_vel,b'l_distal_pin'_joint_react_forces,b'l_distal_pin'_joint_motor_torque,b'r_prox_pin'_joint_angle,b'r_prox_pin'_joint_vel,b'r_prox_pin'_joint_react_forces,b'r_prox_pin'_joint_motor_torque,b'r_distal_pin'_joint_angle,b'r_distal_pin'_joint_vel,b'r_distal_pin'_joint_react_forces,b'r_distal_pin'_joint_motor_torque,in_contact_l,contact_point_l_dist,contact_normal_l_dist,contact_distance_l_dist,contact_norm_force_l_dist,in_contact_r,contact_point_r_dist,contact_normal_r_dist,contact_distance_r_dist,contact_norm_force_r_dist
0,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6429307111289271]","[-0.06991713494062424, 0.11062463372945786, 0.03999999910593033]","[0.0, -0.0, 0.6429307111289271]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6673401753977319]","[0.07131072133779526, 0.10955388844013214, 0.03999999910593033]","[0.0, 0.0, -0.7848931559948581]",0.73563763,22.249663200000004,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.552789792259023,5.294901130302062e-32,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.24562369466220793,-0.7579917869736262,-21.756402491702737,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",34.46450837185191,-0.10794166402774508,2.3067105714488583,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8.765009015475858,False,,,,,False,,,,
1,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.126585512342968]","[-0.09176240861415863, 0.08394166082143784, 0.03999999910593033]","[0.0, -0.0, 1.1265864725026016]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.13846552283997]","[0.09212540090084076, 0.08316715806722641, 0.03999999910593033]","[0.0, 0.0, -1.1958309904194953]",1.1709270649523469,10.641944934604087,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.7068426281171958,8.750681698751778e-07,1.0273240928962424e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.12011999884119333,-1.181618988934946,-10.356826961734775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.6460093571929852,-0.051628943774705546,1.376743384776279,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.10168054944364863,False,,,,,False,,,,
2,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.3579163939939654]","[-0.09712471067905426, 0.0682118609547615, 0.03999999910593033]","[0.0, -0.0, 1.3579197824809437]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.3635984874387626]","[0.09721000492572784, 0.06781173497438431, 0.03999999910593033]","[0.0, 0.0, -1.3910385869420074]",1.37912465663464,5.090009156409601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.8181093185961676,3.940702417530038e-06,0.0001221829934741677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.05806034967263589,-1.3842385697220883,-4.953638140744317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.7887791417834831,-0.024696941374704916,0.6583930401894944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.04906644857689494,False,,,,,False,,,,
3,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.4685611215819594]","[-0.09837405383586884, 0.06034812703728676, 0.03999999910593033]","[0.0, -0.0, 1.468565853091142]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.4712788457263521]","[0.0983937606215477, 0.06015344336628914, 0.03999999910593033]","[0.0, 0.0, -1.4844061039497418]",1.4787049149819127,2.434535600482329,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.39169363303347604,4.747151892642784e-06,-1.7351748576465223e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.02790732436186781,-1.4811508837585086,-2.3693097664397755,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.37761186810531283,-0.011814888241968555,0.3149714411852639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.023565936472848985,False,,,,,False,,,,
4,Open,,,,,,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.5214821319654974]","[-0.09866246581077576, 0.05654918774962425, 0.03999999910593033]","[0.0, -0.0, 1.5214858439169519]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.5227821585534602]","[0.09866702556610107, 0.05645570904016495, 0.03999999910593033]","[0.0, 0.0, -1.529061933448946]",1.5263338438506127,1.164430830650334,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.18743587261192823,3.6440993970645793e-06,-4.480530101024996e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.013379159967550349,-1.527503743133955,-1.1332335164278682,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.18068846528573543,-0.005652184024362593,0.1506807000213291,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.011293655891939093,False,,,,,False,,,,
5,Close,,,"(0.010001154143305145, 0.16001846627704427, 0.023764738319401603)","(-0.00037702444213104407, 2.3564047280946926e-05, -4.4421109431381166e-09)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 1.1495694124992881]","[-0.09245633333921432, 0.08243940025568008, 0.03999999910593033]","[0.0, -0.0, 0.781011267034984]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -1.1501911790213966]","[0.09247462451457977, 0.08239854127168655, 0.03999999910593033]","[0.0, 0.0, -0.7846348471850702]",1.094612382878832,-13.189663543435524,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.2496167473251543,-0.42170252928085916,-12.754678781513597,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.2843643258333828,-1.0951719420793669,13.204585122116455,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.252737056530905,0.4190008694889591,12.826723295796969,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.2852691684006919,False,,,,,False,,,,
6,Close,,,"(0.010002306014043007, 0.16003689619304312, 0.038982445123681576)","(-0.0007536035543313348, 4.7100258049582536e-05, -1.7747461781428295e-08)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.8628572443720113]","[-0.08144866675138474, 0.09981939941644669, 0.03999999910593033]","[0.0, -0.0, 0.2170432288886396]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.8631546678742935]","[0.08146258443593979, 0.099803127348423, 0.03999999910593033]","[0.0, 0.0, -0.2187763625412299]",0.8365715694325584,-6.308575184868223,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.0812992509043695,-0.6712328180325469,-6.100497243883756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.13959778581136742,-0.8368392048635407,6.315712129694417,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.0828196858333279,0.669940625819459,6.13495583072817,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.14005465943127962,False,,,,,False,,,,
7,Close,,,"(0.010003456009463264, 0.16005529610398603, 0.04567389610019914)","(-0.0011297378697381003, 7.060866228110946e-05, -3.988464411418517e-08)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.7257238967454298]","[-0.07453475147485733, 0.10685738176107407, 0.03999999910593033]","[0.0, 0.0, -0.05270242640930395]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.7258660452937684]","[0.07454241067171097, 0.10685058683156967, 0.03999999910593033]","[0.0, -0.0, 0.051873472142222356]",0.7131514482877275,-3.0173719543394006,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.5184025208825043,-0.7905846201563427,-2.9180080507618555,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.06759447303629951,-0.7132794574846965,3.0207855329252413,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.519136160964333,0.7899665793930325,2.934490014782911,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06781852044778111,False,,,,,False,,,,
8,Close,,,"(0.009998390752654573, 0.16003702894197389, 0.04714144752999396)","(-0.0007411380797103218, -4.869650481896534e-05, 1.1687517768299383e-07)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6601333052853675]","[-0.07090199738740921, 0.10987355560064316, 0.03999999910593033]","[0.0, 0.0, -0.1817215367814823]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6602013898759537]","[0.07090586423873901, 0.1098705530166626, 0.03999999910593033]","[0.0, -0.0, 0.1813250884582479]",0.6541199529117874,-1.443198744314331,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.2482274900661027,-0.8476698209236043,-1.3955987254062228,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.03251713478727156,-0.6541811792007101,1.4448314453522693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.24857985019437154,0.8473742234517746,1.4034817490459632,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.03262555411754297,False,,,,,False,,,,
9,Close,,,"(0.008562352819313064, 0.15963169911231415, 0.04795936059784778)","(0.002880050037504477, -0.0018080766405500393, 0.027156574699580344)",,"[-0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, -0.0, 0.6287615983534538]","[-0.06909634172916412, 0.11123047024011612, 0.03999999910593033]","[0.0, 0.0, -0.24342883421715172]","[0.026750000193715096, 0.05299999937415123, 0.03999999910593033]","[0.0, 0.0, -0.6288059721302652]","[0.06909892708063126, 0.1112285852432251, 0.03999999910593033]","[0.0, -0.0, 0.24295585513718987]",0.6258854057058539,-0.6902774854894381,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.11878846609148704,-0.8749713231347032,-0.6674313830745814,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.015594191474811038,-0.6259255556368085,0.6912982329409242,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.23889456753769728,0.8745816224765113,0.6767593625972839,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.18939691443679915,False,,,,,True,"(0.040048198705117485, 0.17954190147604243, 0.02399995236517949)","(-0.9999968496142797, -0.00250969405768167, -4.6874861287478436e-05)",-8.481535683957195e-06,2.863336982423626
