frame,pitch,rmag,roll,tmag,x,y,yaw,z
0,0,0,0,0,0.0,0.0,0,0
1,0,1.4899865793592248,0,0,-0.00012219357243566505,7.948450010092367e-05,0,0
2,0,1.4927360337037991,0,0,-0.0003594293483861278,4.8170206864289744e-05,0,0
3,0,1.530789481542759,0,0,-0.0004913354917828259,-5.819809606946724e-05,0,0
4,0,1.5820992291252427,0,0,-0.0007429047206436252,-1.2161297014368078e-05,0,0
5,0,1.5760318027122993,0,0,-0.0007462819269785141,-6.0694814967288124e-06,0,0
6,0,1.574268331629066,0,0,-0.0007439379351714881,-6.190894969809735e-06,0,0
7,0,1.5730932831520532,0,0,-0.0007450196257664926,-5.17296966823233e-06,0,0
8,0,1.5723160104823966,0,0,-0.0006215559227565348,1.6132863059986624e-05,0,0
9,0,1.5718014844108186,0,0,-0.0004627644192879672,3.119449431107646e-05,0,0
10,0,1.571479533958661,0,0,-0.00030743798922542226,4.69041339524745e-05,0,0
11,0,1.570651381881964,0,0,-0.0006094216807712331,6.0740710236817375e-05,0,0
12,0,1.5706342436679177,0,0,-0.0015529755650844678,0.00012234583165290913,0,0
13,0,1.570588757430878,0,0,-0.002742327877543694,0.0003647649430381372,0,0
14,0,1.5705135724229182,0,0,-0.003798888298139938,0.0007976510809553916,0,0
15,0,1.5710355160789127,0,0,-0.0047368284796816765,0.001377091544622816,0,0
16,0,1.5705990959757703,0,0,-0.005492910972624357,0.0019589393535948407,0,0
17,0,1.570237476930402,0,0,-0.005852948612852974,0.0026189934596158038,0,0
18,0,1.5701260491720805,0,0,-0.0060932111505509375,0.003288948078929016,0,0
19,0,1.5700140647284204,0,0,-0.006232259603446114,0.003945765029378101,0,0
20,0,1.569885419335072,0,0,-0.006268672691470516,0.004588735299954877,0,0
21,0,1.5721983859834925,0,0,-0.006204936053085561,0.005302129363592478,0,0
22,0,1.568821063129948,0,0,-0.0061360719890406045,0.0057097378216710015,0,0
23,0,1.5651812792556863,0,0,-0.006048600688249602,0.00604166755382296,0,0
24,0,1.5690133948174392,0,0,-0.005834569635047158,0.00674955694242127,0,0
25,0,1.5687661796477426,0,0,-0.005778948083340097,0.00722971690514862,0,0
26,0,1.568589539456651,0,0,-0.005816405298677053,0.0076759692741125984,0,0
27,0,1.568444263524939,0,0,-0.005893524536490961,0.008107437666115408,0,0
28,0,1.568454768631666,0,0,-0.006074502802167475,0.008512341064675327,0,0
29,0,1.5685103412129802,0,0,-0.006243852310519192,0.00889504633126087,0,0
30,0,1.5717270963000587,0,0,-0.0063904775232152405,0.009380560473056188,0,0
31,0,1.5710217223758949,0,0,-0.006412633936786912,0.009700867462088397,0,0
