,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,-0.0,0.0,0,0,0
1,0.0,-0.0,0.0,0,0,0
2,0.0,-0.0,0.0,0,0,0
3,0.0,-0.0,0.0,0,0,0
4,0.0,-0.0,0.0,0,0,0
5,-0.0065,-0.0026,0.0,0,0,0
6,0.0,-0.0,0.0,0,0,0
7,0.0,-0.0,0.0,0,0,0
8,-0.0022,-0.0017,1.0344,0,0,0
9,0.0,-0.0,0.0,0,0,0
10,0.0,-0.0,0.0,0,0,0
11,0.0,-0.0,0.0,0,0,0
12,-0.0022,-0.0017,1.0344,0,0,0
13,-0.0022,-0.0017,1.0344,0,0,0
14,0.0,-0.0,0.0,-0.0009,-0.0005,0.2069
15,0.0,-0.0,0.0,-0.0009,-0.0005,0.2069
16,-0.0065,-0.0026,0.0,-0.0013,-0.0007,0.2069
17,0.0,-0.0,0.0,-0.0013,-0.0007,0.2069
18,0.0,-0.0,0.0,-0.0013,-0.0007,0.2069
19,0.0,-0.0,0.0,-0.0013,-0.0007,0.2069
20,0.0,-0.0,0.0,-0.0009,-0.0005,0.2069
21,0.0,-0.0,0.0,-0.0009,-0.0005,0.2069
22,-0.0022,-0.0017,1.0344,-0.001,-0.0006,0.2758
23,-0.0065,-0.0026,0.0,-0.0013,-0.0007,0.2069
24,0.0,-0.0,0.0,-0.0013,-0.0007,0.2069
25,-0.0022,-0.0017,1.0344,-0.0015,-0.0008,0.2758
26,-0.0022,-0.0017,1.0344,-0.0016,-0.0009,0.3448
27,-0.0065,-0.0026,0.0,-0.0019,-0.001,0.2758
28,-0.0065,-0.0026,0.0,-0.0022,-0.001,0.2069
29,-0.0065,-0.0026,0.0,-0.0026,-0.0012,0.2069
30,0.0,-0.0,0.0,-0.0026,-0.0012,0.2069
31,-0.0022,-0.0017,1.0344,-0.0023,-0.0011,0.2758
32,-0.0022,-0.0017,1.0344,-0.0025,-0.0013,0.3448
33,-0.0065,-0.0026,0.0,-0.0029,-0.0014,0.3448
34,-0.0065,-0.0026,0.0,-0.0033,-0.0016,0.3448
35,0.0,-0.0,0.0,-0.0033,-0.0016,0.3448
36,0.0,-0.0,0.0,-0.0033,-0.0016,0.3448
37,-0.0022,-0.0017,1.0344,-0.0033,-0.0016,0.3448
38,-0.0006,0.0024,1.9701,-0.0029,-0.0013,0.4761
39,0.0012,-0.0056,0.9321,-0.0029,-0.0016,0.5383
40,-0.0039,-0.0065,1.9701,-0.003,-0.002,0.6007
41,0.0024,0.0002,0.0,-0.0027,-0.0018,0.5317
42,0.0024,0.0002,0.0,-0.0021,-0.0017,0.5317
43,0.0024,0.0002,0.0,-0.0015,-0.0015,0.5317
44,-0.0005,-0.0021,0.0,-0.0011,-0.0014,0.5317
45,-0.0005,-0.0021,0.0,-0.0011,-0.0016,0.5317
46,-0.01,0.0114,0.9321,-0.0016,-0.0007,0.5249
47,0.0058,0.0114,1.9701,-0.0011,0.0002,0.5873
