,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,-0.0,0.0,0,0,0
1,0.0,-0.0,0.0,0,0,0
2,0.0,-0.0,0.0,0,0,0
3,0.0,-0.0,0.0,0,0,0
4,0.0,-0.0,0.0,0,0,0
5,0.0,-0.0,0.0,0,0,0
6,0.0,-0.0,0.0,0,0,0
7,0.0,-0.0,0.0,0,0,0
8,0.0,-0.0,0.0,0,0,0
9,0.0,-0.0,0.0,0,0,0
10,0.0,-0.0,0.0,0,0,0
11,0.0,-0.0,0.0,0,0,0
12,0.0,-0.0,0.0,0,0,0
13,0.0,-0.0,0.0,0,0,0
14,0.0,-0.0,0.0,0.0,0.0,0.0
15,0.0,-0.0,0.0,0.0,0.0,0.0
16,0.0,-0.0,0.0,0.0,0.0,0.0
17,0.0,-0.0,0.0,0.0,0.0,0.0
18,0.0,-0.0,0.0,0.0,0.0,0.0
19,0.0,-0.0,0.0,0.0,0.0,0.0
20,0.0,-0.0,0.0,0.0,0.0,0.0
21,0.0,-0.0,0.0,0.0,0.0,0.0
22,0.0,-0.0,0.0,0.0,0.0,0.0
23,0.0,-0.0,0.0,0.0,0.0,0.0
24,0.0,-0.0,0.0,0.0,0.0,0.0
25,0.0,-0.0,0.0,0.0,0.0,0.0
26,0.006,0.0005,0.0,0.0004,0.0,0.0
27,0.006,0.0005,0.0,0.0008,0.0001,0.0
28,0.0087,-0.004,1.9701,0.0014,-0.0002,0.1313
29,0.0087,-0.004,1.9701,0.002,-0.0005,0.2627
30,0.0221,-0.0059,1.9701,0.0034,-0.0009,0.394
31,0.0397,-0.0017,2.9741,0.0061,-0.001,0.5923
32,0.0145,-0.005,5.9201,0.007,-0.0013,0.987
33,0.0176,-0.0093,7.8903,0.0082,-0.0019,1.513
34,0.0176,-0.0093,7.8903,0.0094,-0.0025,2.039
35,0.0209,-0.0136,9.8513,0.0108,-0.0035,2.6958
36,0.0209,-0.0136,9.8513,0.0122,-0.0044,3.3525
37,0.0209,-0.0136,9.8513,0.0136,-0.0053,4.0093
38,0.0209,-0.0136,9.8513,0.015,-0.0062,4.666
39,0.0206,-0.0178,10.9464,0.0163,-0.0074,5.3958
40,0.0265,-0.0118,9.8513,0.0181,-0.0081,6.0525
41,0.0268,-0.0144,9.8513,0.0195,-0.0091,6.7093
42,0.0268,-0.0144,9.8513,0.0209,-0.0101,7.366
43,0.0227,-0.0122,9.8513,0.0218,-0.0107,7.8915
44,0.0454,-0.0143,9.8513,0.0243,-0.0114,8.4169
45,0.0309,-0.0114,11.7985,0.0248,-0.0117,9.0721
46,0.0309,-0.0114,11.7985,0.0243,-0.0124,9.6604
47,0.0217,-0.0042,12.9178,0.0247,-0.0123,10.1269
48,0.0337,-0.01,14.868,0.0258,-0.0124,10.5921
49,0.0483,-0.0098,14.868,0.0279,-0.0124,11.0573
50,0.0317,-0.0057,14.868,0.0286,-0.0119,11.3917
51,0.0204,0.0008,14.868,0.0285,-0.0109,11.7262
