,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,0.0,0.0,0,0,0
1,0.0,0.0,0.0,0,0,0
2,0.0,0.0,0.0,0,0,0
3,0.0,0.0,0.0,0,0,0
4,0.0,0.0,0.0,0,0,0
5,0.0,0.0,0.0,0,0,0
6,0.0,0.0,0.0,0,0,0
7,0.0,0.0,0.0,0,0,0
8,0.0,0.0,0.0,0,0,0
9,0.0,0.0,0.0,0,0,0
10,0.0,0.0,0.0,0,0,0
11,0.0,0.0,0.0,0,0,0
12,0.0,0.0,0.0,0,0,0
13,0.0,0.0,0.0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0013,-0.0077,0.9695,-0.0001,-0.0005,0.0646
23,-0.0153,-0.0065,1.9748,-0.0011,-0.0009,0.1963
24,-0.0153,-0.0065,1.9748,-0.0021,-0.0014,0.3279
25,-0.0153,-0.0065,1.9748,-0.0031,-0.0018,0.4596
26,-0.0118,-0.0107,0.0,-0.0039,-0.0025,0.4596
27,-0.0093,-0.0065,1.9748,-0.0046,-0.003,0.5912
28,-0.002,-0.0029,1.0037,-0.0047,-0.0032,0.6582
29,0.0141,-0.0046,1.0037,-0.0037,-0.0035,0.7251
30,0.0247,-0.008,0.0,-0.0021,-0.004,0.7251
31,0.0261,-0.0067,0.0,-0.0004,-0.0044,0.7251
32,0.0109,-0.0232,1.9701,0.0004,-0.006,0.8564
33,0.0279,-0.0156,3.9311,0.0022,-0.007,1.1185
34,0.0342,-0.0276,3.9311,0.0045,-0.0089,1.3806
35,0.0402,-0.0267,3.9311,0.0072,-0.0106,1.6426
36,0.0511,-0.0261,5.8784,0.0106,-0.0124,2.0345
37,0.0571,-0.025,5.8784,0.0145,-0.0135,2.3618
38,0.0477,-0.0231,6.9977,0.0187,-0.0146,2.6966
39,0.0584,-0.0219,6.9977,0.0236,-0.0157,3.0315
40,0.069,-0.0319,5.8784,0.0292,-0.0174,3.2917
41,0.0813,-0.028,6.9977,0.0354,-0.0185,3.7583
42,0.0759,-0.0294,5.8784,0.0411,-0.02,4.0185
43,0.0759,-0.0294,5.8784,0.0463,-0.0218,4.3435
44,0.0708,-0.0328,5.8784,0.0501,-0.0237,4.6685
45,0.0772,-0.0294,3.9311,0.0536,-0.0251,4.9305
46,0.0697,-0.0186,5.0263,0.0565,-0.0259,5.2656
47,0.092,-0.0198,3.9311,0.0619,-0.0257,5.3964
48,0.0833,-0.0286,3.9311,0.0656,-0.0266,5.3964
49,0.0833,-0.0286,3.9311,0.0689,-0.0266,5.3964
50,0.0833,-0.0286,3.9311,0.0717,-0.0267,5.3964
