,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,-0.0,0.0,0,0,0
1,0.0,-0.0,0.0,0,0,0
2,0.0,-0.0,0.0,0,0,0
3,0.0,-0.0,0.0,0,0,0
4,-0.0057,-0.0031,0.0,0,0,0
5,0.0,-0.0,0.0,0,0,0
6,-0.0057,-0.0031,0.0,0,0,0
7,-0.0057,-0.0031,0.0,0,0,0
8,0.0,-0.0,0.0,0,0,0
9,-0.0057,-0.0031,0.0,0,0,0
10,0.0,-0.0,0.0,0,0,0
11,-0.0057,-0.0031,0.0,0,0,0
12,0.0,-0.0,0.0,0,0,0
13,0.0,-0.0,0.0,0,0,0
14,-0.0057,-0.0031,0.0,-0.0023,-0.0012,0.0
15,0.0,-0.0,0.0,-0.0023,-0.0012,0.0
16,0.0,-0.0,0.0,-0.0023,-0.0012,0.0
17,0.0,-0.0,0.0,-0.0023,-0.0012,0.0
18,0.0,-0.0,0.0,-0.0023,-0.0012,0.0
19,0.0,-0.0,0.0,-0.0019,-0.001,0.0
20,0.0,-0.0,0.0,-0.0019,-0.001,0.0
21,-0.0057,-0.0031,0.0,-0.0019,-0.001,0.0
22,0.0,-0.0,0.0,-0.0015,-0.0008,0.0
23,0.0,-0.0,0.0,-0.0015,-0.0008,0.0
24,0.0,-0.0,0.0,-0.0011,-0.0006,0.0
25,-0.0057,-0.0031,0.0,-0.0015,-0.0008,0.0
26,0.0,-0.0,0.0,-0.0011,-0.0006,0.0
27,0.0,-0.0,0.0,-0.0011,-0.0006,0.0
28,0.0,-0.0,0.0,-0.0011,-0.0006,0.0
29,0.0,-0.0,0.0,-0.0008,-0.0004,0.0
30,-0.0057,-0.0031,0.0,-0.0011,-0.0006,0.0
31,0.0068,0.0008,0.0,-0.0007,-0.0006,0.0
32,0.007,0.0009,1.9701,-0.0002,-0.0005,0.1313
33,-0.0005,-0.0031,3.9451,-0.0003,-0.0007,0.3943
34,-0.0005,-0.0031,3.9451,-0.0003,-0.0009,0.6574
35,-0.0065,-0.0032,3.9451,-0.0007,-0.0011,0.9204
36,-0.0126,-0.0032,3.9451,-0.0012,-0.0011,1.1834
37,-0.0103,0.0036,4.9162,-0.0019,-0.0009,1.5111
38,-0.0161,0.0038,4.9162,-0.0029,-0.0006,1.8389
39,-0.0215,-0.0002,2.94,-0.0044,-0.0007,2.0349
40,-0.0306,-0.0026,5.9201,-0.006,-0.0006,2.4295
41,-0.0258,-0.0051,5.9201,-0.0078,-0.001,2.8242
42,-0.0613,-0.013,7.8903,-0.0118,-0.0018,3.3502
43,-0.0503,-0.0161,8.9583,-0.0152,-0.0029,3.9474
44,-0.0818,-0.0107,9.8513,-0.0206,-0.0036,4.6042
45,-0.0803,-0.0056,9.8513,-0.0256,-0.0038,5.261
46,-0.0957,-0.0081,8.9583,-0.0325,-0.0044,5.8582
47,-0.0918,-0.0216,7.8903,-0.039,-0.0059,6.2529
48,-0.1109,-0.0319,7.8903,-0.0464,-0.0078,6.5159
