,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,0.0,0.0,0,0,0
1,0.0,0.0,0.0,0,0,0
2,0.0,0.0,0.0,0,0,0
3,0.0,0.0,0.0,0,0,0
4,0.0,0.0,0.0,0,0,0
5,0.0,0.0,0.0,0,0,0
6,0.0,0.0,0.0,0,0,0
7,0.0,0.0,0.0,0,0,0
8,0.0,0.0,0.0,0,0,0
9,0.0,0.0,0.0,0,0,0
10,0.0,0.0,0.0,0,0,0
11,0.0,0.0,0.0,0,0,0
12,0.0,0.0,0.0,0,0,0
13,0.0,0.0,0.0,0,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,-0.017,-0.0044,1.9608,-0.0011,-0.0003,0.1307
19,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
20,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
21,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
22,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
23,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
24,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
25,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
26,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
27,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
28,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
29,0.0,0.0,0.0,-0.0011,-0.0003,0.1307
30,0.0058,0.0004,0.0,-0.0007,-0.0003,0.1307
31,0.0115,0.001,0.0,0.0,-0.0002,0.1307
32,0.0257,-0.0007,1.9608,0.0017,-0.0002,0.2614
33,0.0257,-0.0007,1.9608,0.0046,0.0,0.2614
34,0.0201,-0.0012,1.9608,0.0059,-0.0001,0.3922
35,0.0239,0.0045,1.9608,0.0075,0.0002,0.5229
36,0.0145,-0.0016,1.9608,0.0085,0.0001,0.6536
37,-0.0114,-0.0053,1.9608,0.0077,-0.0002,0.7843
38,0.008,-0.0034,1.095,0.0083,-0.0005,0.8573
39,-0.0476,0.012,1.9472,0.0051,0.0003,0.9871
40,-0.0381,0.053,0.0,0.0025,0.0039,0.9871
41,-0.0663,0.0271,1.062,-0.0019,0.0057,1.0579
42,-0.0624,0.0151,2.8933,-0.006,0.0067,1.2508
43,-0.0574,0.0451,2.8933,-0.0099,0.0097,1.4437
44,-0.0889,0.0497,3.9311,-0.0158,0.013,1.7058
45,-0.129,0.0517,6.8772,-0.0248,0.0164,2.1643
46,-0.1394,0.0411,8.9189,-0.0348,0.0191,2.7589
47,-0.1713,0.0607,8.817,-0.048,0.0232,3.2159
48,-0.2081,0.0816,9.8513,-0.0636,0.0287,3.742
49,-0.2123,0.0673,8.817,-0.0791,0.0332,4.199
50,-0.2148,0.117,8.817,-0.095,0.0407,4.6561
51,-0.2536,0.1165,11.8123,-0.1128,0.0486,5.3129
