,x,y,rmag,f_x,f_y,f_rot_mag
0,-0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0,0.0,0.0,0.0,0.0,0.0
6,-0.0,0.0,0.0,0.0,0.0,0.0
7,-0.0,0.0,0.0,0.0,0.0,0.0
8,-0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0,0.0,0.0,0.0,0.0,0.0
10,-0.0,0.0,0.0,0.0,0.0,0.0
11,-0.0,0.0,0.0,0.0,0.0,0.0
12,-0.0,0.0,0.0,0.0,0.0,0.0
13,-0.0,0.0,0.0,0.0,0.0,0.0
14,-0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,0.0,0.0,0.0,0.0,0.0
18,-0.0046,-0.0073,0.0,-0.0003,-0.0005,0.0
19,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
20,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
21,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
22,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
23,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
24,-0.0,0.0,0.0,-0.0003,-0.0005,0.0
25,0.0071,0.0046,1.9701,0.0002,-0.0002,0.1313
26,-0.0023,-0.0036,1.9701,0.0,-0.0004,0.2627
27,-0.012,0.0002,0.0,-0.0008,-0.0004,0.2627
28,-0.012,0.0002,0.0,-0.0016,-0.0004,0.2627
29,-0.0046,-0.0073,0.0,-0.0019,-0.0009,0.2627
30,-0.0082,-0.0116,1.9701,-0.0024,-0.0017,0.394
31,-0.0082,-0.0116,1.9701,-0.003,-0.0024,0.5254
32,-0.0005,-0.0084,1.9701,-0.003,-0.003,0.6567
33,-0.0056,-0.0152,3.9451,-0.0031,-0.0035,0.9197
34,-0.0019,-0.019,1.9701,-0.0032,-0.0048,1.051
35,0.0068,-0.0149,2.9741,-0.0028,-0.0058,1.2493
36,0.0113,-0.0155,1.9701,-0.002,-0.0068,1.3807
37,0.0106,-0.0261,1.9701,-0.0013,-0.0085,1.512
38,0.0218,-0.0255,1.0344,0.0002,-0.0102,1.581
39,0.0276,-0.0352,0.0,0.002,-0.0126,1.581
40,0.0341,-0.038,1.9608,0.0038,-0.0154,1.5803
41,0.0346,-0.05,0.0,0.0063,-0.0185,1.449
42,0.0346,-0.05,0.0,0.0094,-0.0219,1.449
43,0.0217,-0.0449,1.9608,0.0116,-0.0249,1.5797
44,0.0358,-0.0488,0.0,0.0143,-0.0276,1.5797
45,0.0412,-0.0572,0.0,0.0176,-0.0307,1.4484
46,0.0319,-0.0426,1.0679,0.0203,-0.0328,1.3882
47,0.0473,-0.0566,0.0,0.0235,-0.036,1.2569
48,0.0484,-0.0511,1.9608,0.0271,-0.0384,1.1246
49,0.0526,-0.057,1.9608,0.0307,-0.0409,1.124
50,0.0526,-0.057,1.9608,0.0337,-0.0437,1.0564
51,0.0546,-0.0544,1.9608,0.0366,-0.0463,1.0558
52,0.0466,-0.0578,1.9608,0.039,-0.0484,1.0552
53,0.0516,-0.054,3.0561,0.041,-0.0503,1.19
54,0.0535,-0.0532,1.9608,0.0427,-0.0515,1.3207
55,0.0535,-0.0532,1.9608,0.044,-0.0525,1.3207
56,0.0526,-0.057,1.9608,0.0452,-0.053,1.4514
57,0.0541,-0.0571,1.9608,0.0465,-0.0535,1.5821
58,0.0326,-0.0618,3.0561,0.0473,-0.0546,1.6552
59,0.0472,-0.0655,1.9608,0.048,-0.0557,1.7859
60,0.0485,-0.0651,1.9608,0.0485,-0.0562,1.9166
61,0.0479,-0.0731,1.9608,0.0496,-0.0583,1.9761
62,0.0479,-0.0731,1.9608,0.0496,-0.0594,2.1068
63,0.0487,-0.0797,0.0,0.0496,-0.0613,1.9761
64,0.0385,-0.0637,1.0679,0.0487,-0.0617,1.9166
65,0.0586,-0.0772,0.8987,0.0491,-0.0631,1.8458
66,0.0614,-0.0868,1.9608,0.0495,-0.0652,1.8458
67,0.0696,-0.0827,1.9608,0.0511,-0.0669,1.8458
68,0.0681,-0.0937,1.9608,0.0522,-0.0695,1.7728
69,0.0672,-0.0956,3.9081,0.0531,-0.0724,1.9026
70,0.0654,-0.0915,6.9776,0.0539,-0.0749,2.237
71,0.0746,-0.1026,8.1496,0.0554,-0.0779,2.6496
72,0.0708,-0.1021,8.9025,0.0565,-0.0809,3.1124
73,0.0684,-0.1014,10.091,0.0589,-0.0836,3.5814
74,0.0708,-0.1021,8.9025,0.0604,-0.086,4.0442
75,0.0897,-0.1058,10.091,0.0632,-0.0887,4.5862
76,0.0897,-0.1058,10.091,0.066,-0.0909,5.1282
77,0.0846,-0.1011,10.7984,0.0684,-0.0928,5.7174
