,x,y,rmag,f_x,f_y,f_rot_mag
0,-0.0,-0.0,0.0,0.0,0.0,0.0
1,-0.0,-0.0,0.0,0.0,0.0,0.0
2,-0.0,-0.0,0.0,0.0,0.0,0.0
3,-0.0,-0.0,0.0,0.0,0.0,0.0
4,-0.0,-0.0,0.0,0.0,0.0,0.0
5,-0.0,-0.0,0.0,0.0,0.0,0.0
6,-0.0,-0.0,0.0,0.0,0.0,0.0
7,-0.0,-0.0,0.0,0.0,0.0,0.0
8,-0.0,-0.0,0.0,0.0,0.0,0.0
9,-0.0,-0.0,0.0,0.0,0.0,0.0
10,-0.0,-0.0,0.0,0.0,0.0,0.0
11,-0.0,-0.0,0.0,0.0,0.0,0.0
12,-0.0,-0.0,0.0,0.0,0.0,0.0
13,-0.0,-0.0,0.0,0.0,0.0,0.0
14,-0.0,-0.0,0.0,0.0,0.0,0.0
15,-0.0,-0.0,0.0,0.0,0.0,0.0
16,-0.0,-0.0,0.0,0.0,0.0,0.0
17,-0.0,-0.0,0.0,0.0,0.0,0.0
18,-0.0,-0.0,0.0,0.0,0.0,0.0
19,-0.0,-0.0,0.0,0.0,0.0,0.0
20,-0.0,-0.0,0.0,0.0,0.0,0.0
21,-0.0022,-0.0003,1.0344,-0.0001,-0.0,0.069
22,-0.0269,0.0,0.0,-0.0019,-0.0,0.069
23,-0.0301,0.037,2.94,-0.0039,0.0024,0.265
24,-0.0347,0.0118,5.9201,-0.0063,0.0032,0.6596
25,-0.0362,0.0254,7.8903,-0.0087,0.0049,1.1857
26,-0.0374,0.0383,11.7985,-0.0112,0.0075,1.9722
27,-0.0359,0.0525,13.7276,-0.0136,0.011,2.8874
28,-0.0498,0.0714,12.0753,-0.0169,0.0157,3.6924
29,-0.0528,0.0644,9.8513,-0.0204,0.02,4.3492
30,-0.0723,0.0605,7.8903,-0.0252,0.0241,4.8752
31,-0.0781,0.0611,7.8903,-0.0304,0.0281,5.4012
32,-0.0819,0.0749,5.9201,-0.0359,0.0331,5.7959
33,-0.0932,0.0749,3.9451,-0.0421,0.0381,6.0589
34,-0.1054,0.0825,3.9451,-0.0491,0.0436,6.3219
35,-0.1212,0.0803,0.0,-0.0572,0.049,6.3219
36,-0.1337,0.0868,0.0,-0.066,0.0548,6.2529
37,-0.1139,0.1094,1.0344,-0.0718,0.0621,6.3219
38,-0.1535,0.1026,1.9701,-0.08,0.0665,6.2572
39,-0.1659,0.1097,1.9701,-0.0887,0.073,5.9939
40,-0.152,0.1413,2.9741,-0.0965,0.0807,5.6662
41,-0.1704,0.1576,3.9451,-0.1053,0.0887,5.1426
42,-0.158,0.1247,1.9701,-0.1135,0.0935,4.3588
43,-0.2087,0.123,1.9701,-0.1241,0.0969,3.6851
44,-0.2203,0.1173,0.0,-0.1352,0.1004,3.0283
45,-0.1948,0.1146,1.9608,-0.1434,0.104,2.633
46,-0.1973,0.1258,0.0,-0.1513,0.1084,2.107
47,-0.2455,0.1346,1.0679,-0.1623,0.1123,1.7835
48,-0.2551,0.1078,1.9608,-0.173,0.1145,1.6512
49,-0.261,0.117,3.0561,-0.1834,0.1168,1.592
50,-0.267,0.1162,3.0561,-0.1931,0.1192,1.7957
51,-0.273,0.1155,3.0561,-0.2024,0.1211,1.9995
52,-0.2708,0.102,3.9081,-0.2129,0.1206,2.191
53,-0.2852,0.1039,1.9608,-0.2217,0.1207,2.1904
54,-0.288,0.0884,3.9081,-0.2298,0.1193,2.3196
55,-0.2939,0.0874,3.9081,-0.2393,0.1157,2.3819
56,-0.2999,0.0864,3.9081,-0.2479,0.111,2.3794
57,-0.305,0.0928,5.0274,-0.2577,0.1088,2.5832
58,-0.311,0.0918,5.0274,-0.2645,0.1068,2.7871
59,-0.3178,0.0832,3.9081,-0.271,0.1045,3.0476
60,-0.3119,0.0957,3.9081,-0.2788,0.1032,3.1774
61,-0.3296,0.0859,5.0274,-0.2876,0.1006,3.5126
62,-0.3297,0.0811,3.9081,-0.2933,0.097,3.7019
63,-0.3356,0.0801,3.9081,-0.2986,0.0952,3.8317
64,-0.3426,0.0618,5.8372,-0.3041,0.0915,4.0171
65,-0.3501,0.0837,5.0274,-0.3096,0.0893,4.1486
66,-0.3585,0.0731,5.0274,-0.3153,0.0865,4.28
67,-0.3587,0.0684,3.9081,-0.3212,0.0842,4.28
68,-0.3646,0.0674,3.9081,-0.3265,0.0818,4.4098
69,-0.3299,0.0402,5.0274,-0.3293,0.0786,4.4844
70,-0.3701,0.0747,5.0274,-0.3343,0.0778,4.559
71,-0.3788,0.0489,6.9776,-0.3396,0.0753,4.7637
72,-0.3754,0.0666,5.0274,-0.3443,0.0735,4.7637
73,-0.3829,0.0454,5.8372,-0.3491,0.0704,4.8177
74,-0.3814,0.0655,5.0274,-0.3533,0.0692,4.8923
75,-0.3874,0.0645,5.0274,-0.3584,0.0672,4.9669
76,-0.3874,0.0645,5.0274,-0.3622,0.0657,4.9669
77,-0.3811,0.0502,5.8372,-0.3656,0.0637,5.0955
