,x,y,rmag,f_x,f_y,f_rot_mag
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0022,-0.0003,1.0344,-0.0006,-0.0001,0.2586
4,0.0165,0.0003,0.0,0.0029,0.0,0.2069
5,0.0,0.0,0.0,0.0024,0.0,0.1724
6,0.009,0.0034,1.0344,0.0033,0.0005,0.2955
7,0.0165,0.0003,0.0,0.005,0.0005,0.2586
8,-0.0022,-0.0003,1.0344,0.0042,0.0004,0.3448
9,0.0,0.0,0.0,0.0038,0.0003,0.3103
10,0.0,0.0,0.0,0.0034,0.0003,0.2821
11,0.0165,0.0003,0.0,0.0045,0.0003,0.2586
12,0.0,0.0,0.0,0.0042,0.0003,0.2387
13,0.0165,0.0003,0.0,0.005,0.0003,0.2217
14,0.0,0.0,0.0,0.0047,0.0003,0.2069
15,0.0,0.0,0.0,0.0047,0.0003,0.2069
16,0.0,0.0,0.0,0.0047,0.0003,0.2069
17,-0.0022,-0.0003,1.0344,0.0046,0.0002,0.2758
18,-0.0022,-0.0003,1.0344,0.0046,0.0002,0.2758
19,0.0165,0.0003,0.0,0.0046,0.0002,0.2758
20,0.0,0.0,0.0,0.0046,0.0002,0.2758
21,0.0165,0.0003,0.0,0.0051,0.0,0.2069
22,0.0,0.0,0.0,0.004,0.0,0.2069
23,0.0,0.0,0.0,0.0041,0.0,0.1379
24,0.0165,0.0003,0.0,0.0052,0.0001,0.1379
25,0.0,0.0,0.0,0.0052,0.0001,0.1379
26,-0.0022,-0.0003,1.0344,0.004,0.0,0.2069
27,0.0165,0.0003,0.0,0.0051,0.0,0.2069
28,0.0,0.0,0.0,0.004,0.0,0.2069
29,-0.0022,-0.0003,1.0344,0.0038,0.0,0.2758
30,0.0165,0.0003,0.0,0.0049,0.0,0.2758
31,0.0,0.0,0.0,0.0049,0.0,0.2758
32,-0.0022,-0.0003,1.0344,0.0049,0.0,0.2758
33,0.0165,0.0003,0.0,0.0062,0.0001,0.2069
34,0.0165,0.0003,0.0,0.0062,0.0001,0.2069
35,-0.0022,-0.0003,1.0344,0.006,0.0,0.2758
36,0.0165,0.0003,0.0,0.006,0.0,0.2758
37,0.0,0.0,0.0,0.006,0.0,0.2758
38,-0.0022,-0.0003,1.0344,0.0059,0.0,0.3448
39,0.0165,0.0003,0.0,0.0059,0.0,0.3448
40,0.0165,0.0003,0.0,0.007,0.0,0.3448
41,-0.0022,-0.0003,1.0344,0.007,0.0,0.3448
42,0.0165,0.0003,0.0,0.007,0.0,0.3448
43,0.0,0.0,0.0,0.007,0.0,0.3448
44,0.0,0.0,0.0,0.0071,0.0001,0.2758
45,-0.0038,-0.0129,1.9701,0.0058,-0.0008,0.4072
46,-0.0109,-0.0061,3.9451,0.005,-0.0012,0.6702
47,-0.0109,-0.0061,3.9451,0.0045,-0.0016,0.8642
48,-0.0012,-0.0167,3.9451,0.0033,-0.0027,1.1272
49,-0.0107,-0.0116,1.9701,0.0015,-0.0035,1.2586
50,-0.0068,-0.0052,1.9701,0.0012,-0.0039,1.321
51,0.0024,0.008,3.9451,0.0002,-0.0034,1.584
52,-0.0038,-0.0129,1.9701,-0.0,-0.0042,1.7153
53,-0.0063,-0.009,0.0,-0.0003,-0.0048,1.6463
54,-0.0275,-0.0005,3.0561,-0.0032,-0.0048,1.8501
55,-0.0049,0.0002,3.9081,-0.0047,-0.0049,2.1106
56,-0.0071,0.0047,5.8372,-0.005,-0.0045,2.4308
57,-0.004,-0.0017,6.9776,-0.0064,-0.0047,2.896
58,-0.0121,0.0303,6.9776,-0.0072,-0.0026,3.3612
59,-0.0233,0.017,8.9025,-0.0087,-0.0015,3.9547
60,-0.0309,0.0242,10.091,-0.0105,0.001,4.4961
61,0.0033,0.0197,10.091,-0.0096,0.0027,4.9058
62,-0.0147,0.0628,6.9776,-0.0098,0.0073,5.1079
63,-0.0532,0.043,5.0274,-0.0133,0.0113,5.1801
64,-0.044,0.0517,1.9608,-0.0155,0.0155,5.1795
65,-0.0475,0.0541,3.9081,-0.0182,0.0194,5.3087
66,-0.0619,0.0715,5.0274,-0.0225,0.0237,5.3808
67,-0.0652,0.0796,6.9776,-0.0266,0.0298,5.7147
68,-0.0543,0.0957,7.7442,-0.0298,0.0368,6.2309
69,-0.0879,0.1045,5.0274,-0.0338,0.0438,6.3624
70,-0.0798,0.1159,1.9608,-0.0388,0.0515,6.2325
71,-0.0617,0.1091,0.9321,-0.0425,0.0585,5.9055
72,-0.0908,0.1571,0.9321,-0.0483,0.0691,5.5025
73,-0.1082,0.1622,1.0679,-0.0547,0.0779,5.1085
74,-0.082,0.1318,1.0679,-0.0586,0.0855,4.5862
75,-0.1137,0.1651,0.0,-0.0641,0.0949,3.9135
76,-0.1194,0.1807,1.9701,-0.0723,0.1057,3.3721
77,-0.1162,0.1652,3.9451,-0.0791,0.1125,3.1699
